Nome: CAMPO GRANDE
Codigo Estacao: A702
Latitude: -20.44722221
Longitude: -54.72249999
Altitude: 528.47
Situacao: Operante
Data Inicial: 2001-09-09
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-09-30;6;null;null;22,8;10,4;null;
2001-10-31;14;100;951,6;24,1;10,8;3,2;
2001-11-30;16;null;949,9;24,5;10,4;2,9;
2001-12-31;16;209,6;949,8;23,9;8,1;2,6;
2002-01-31;7;null;949,9;25,6;9,4;3,3;
2002-02-28;11;null;null;24,9;9;null;
2002-03-31;17;99,2;951,8;25,7;8,9;2,4;
2002-04-30;8;48,2;952,1;25,8;null;null;
2002-05-31;5;71,4;953,7;23,1;null;null;
2002-06-30;2;null;956;22,4;null;null;
2002-07-31;3;null;955,6;21,2;null;null;
2002-08-31;5;null;954,1;24,4;null;null;
2002-09-30;11;null;953,1;22,6;null;null;
2002-10-31;11;null;950,5;26,4;null;null;
2002-11-30;6;null;951,3;25,1;11;null;
2002-12-31;4;null;950,4;26,9;6,7;null;
2003-01-31;18;null;950,1;24,6;null;null;
2003-02-28;6;null;null;null;null;null;
2003-03-31;11;null;952,2;24,2;null;null;
2003-04-30;10;139,2;953,7;23,6;null;null;
2003-05-31;5;62,2;955,2;21;null;null;
2003-06-30;1;30,6;955,1;22,1;null;null;
2003-07-31;1;22,8;956,4;21,7;null;null;
2003-08-31;6;103,8;956,8;19,6;null;null;
2003-09-30;3;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;3;null;null;null;null;null;
2003-12-31;16;111,6;950,3;25,4;9,9;3,3;
2004-01-31;9;58,8;948,7;26;10,6;3,4;
2004-02-29;14;103,2;951;25;9,2;3,4;
2004-03-31;12;59,4;951,3;25,2;8,5;3,2;
2004-04-30;17;146,8;952,2;24,1;7,8;3,2;
2004-05-31;17;167;955,8;18,6;9,4;3,4;
2004-06-30;8;83;956,9;19,9;9,6;3,9;
2004-07-31;7;54,6;955,9;19,7;10,7;4,3;
2004-08-31;null;0;956,2;22,2;10,6;4,3;
2004-09-30;5;42;952,9;25,7;10,8;3,8;
2004-10-31;13;180,6;951,4;24;12,9;4,4;
2004-11-30;10;94,6;950,4;24,6;8,7;3,5;
2004-12-31;14;266,6;950,1;24,9;10,5;3,2;
2005-01-31;22;221,6;948,8;24,6;7,9;2,9;
2005-02-28;8;150,6;950,8;25,9;8,5;3,1;
2005-03-31;11;90,4;951,4;25,3;12,6;2,9;
2005-04-30;9;null;null;22,9;8;null;
2005-05-31;4;114,8;953,5;22,6;8,7;3,8;
2005-06-30;5;null;null;22,1;9,5;null;
2005-07-31;5;20,2;957,5;18,8;10;4,6;
2005-08-31;2;6,8;954,6;23;10,1;4,4;
2005-09-30;5;null;954,5;21,3;11,2;4,9;
2005-10-31;7;null;951,6;24,4;9,2;3,5;
2005-11-30;7;null;null;null;9,4;null;
2005-12-31;8;null;949;25;8,9;3,7;
2006-01-31;22;154,4;950,8;25,1;8,9;2,8;
2006-02-28;18;null;950,3;24,7;7,6;2,6;
2006-03-31;15;143,8;951;24,8;8,2;2,5;
2006-04-30;10;null;952,1;24;10;3,1;
2006-05-31;null;null;null;20,2;7,9;null;
2006-06-30;3;19,6;956,1;21,6;8;4,1;
2006-07-31;2;6;956;22,2;11,6;4,2;
2006-08-31;3;34,6;954,3;23,2;11,7;4,4;
2006-09-30;8;131,6;953,9;22,8;11,2;4,2;
2006-10-31;10;91,6;951;25;9,8;3,3;
2006-11-30;16;210,8;950,3;24,9;9,4;3,3;
2006-12-31;20;159,2;950,7;25,3;11,5;2,9;
2007-01-31;26;452,4;950,2;24,4;7;2,9;
2007-02-28;20;183,2;950,8;24,8;9,3;2,7;
2007-03-31;8;72,2;952,4;25,5;6,4;2,9;
2007-04-30;6;81,8;953,2;24,7;9,3;3,4;
2007-05-31;8;null;954,6;21,3;8,7;3,4;
2007-06-30;null;null;null;null;null;null;
2007-07-31;4;null;null;18,9;12,5;null;
2007-08-31;0;0;955,3;22,2;9;4,5;
2007-09-30;4;4,2;953,6;27,3;10,6;4,7;
2007-10-31;12;103,4;951,1;26,3;12,2;3,7;
2007-11-30;18;165,2;949,8;25;9,9;3,9;
2007-12-31;15;228,8;949,9;25;7,8;2,8;
2008-01-31;27;256,6;949,7;24,3;9,1;2,7;
2008-02-29;18;144,6;951,1;24,2;9,4;2,8;
2008-03-31;15;219;951,5;24,2;8,4;2,8;
2008-04-30;11;93,4;951,5;23,4;8,3;3;
2008-05-31;11;82,2;955,2;20,1;8;3,3;
2008-06-30;6;6;956,1;19,8;10,3;3,4;
2008-07-31;0;0;956;22,8;9,5;4,1;
2008-08-31;7;52,4;953,2;23,7;10,7;4,3;
2008-09-30;8;55,6;954,1;22,5;11,1;4,6;
2008-10-31;10;99,8;952,3;25,2;10,8;3,8;
2008-11-30;15;97,2;950,2;25,4;9,5;3,4;
