Nome: TRES LAGOAS
Codigo Estacao: A704
Latitude: -20.79499999
Longitude: -51.71333333
Altitude: 328.94
Situacao: Operante
Data Inicial: 2001-09-02
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-09-30;6;null;976,5;24,5;8,2;1,8;
2001-10-31;12;115,6;975,2;25,3;7;1,4;
2001-11-30;17;263,6;973,3;26,3;8,3;1,6;
2001-12-31;19;180,6;973;25,7;5,4;1,6;
2002-01-31;15;229,6;973,5;26,6;null;null;
2002-02-28;17;304;974,5;26;4,6;null;
2002-03-31;8;41,2;975,1;28;6;1,5;
2002-04-30;1;3,2;975,5;27,9;6,2;1,3;
2002-05-31;6;89;977,8;23;5,9;1,3;
2002-06-30;null;null;980;23,1;4;1,2;
2002-07-31;5;null;980,2;20,4;5,6;1,3;
2002-08-31;7;79,4;978,4;24,4;5,8;1,5;
2002-09-30;9;50;977,6;22,7;5,7;1,5;
2002-10-31;7;20,6;973,7;28,5;6,5;1,6;
2002-11-30;1;null;null;null;null;null;
2002-12-31;5;null;null;null;5,2;null;
2003-01-31;21;323,8;973,3;26,4;8,5;1,6;
2003-02-28;11;null;975,5;27,3;5,6;1,5;
2003-03-31;9;122,2;975,6;26,4;5,3;1,5;
2003-04-30;6;103,2;977,4;24,6;4,9;1,2;
2003-05-31;3;null;979;21,2;5,5;1,3;
2003-06-30;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;2;null;null;null;null;null;
2004-12-31;14;204,2;973,7;25,9;7,5;1,7;
2005-01-31;24;391,8;972,3;25,9;5,4;1,6;
2005-02-28;4;1,4;973,7;28;4;1,5;
2005-03-31;8;29,4;974,6;27,9;4,5;1,6;
2005-04-30;10;null;976,7;26,6;5,4;1,4;
2005-05-31;6;null;977,7;23,1;5,8;1,3;
2005-06-30;10;47,2;979,6;22;4,3;1,2;
2005-07-31;5;19,6;982;19,5;5,2;1,5;
2005-08-31;3;4,8;978,9;23,1;5,7;1,6;
2005-09-30;6;32,6;978,3;22,5;6,9;2;
2005-10-31;11;null;975,1;26,8;9;1,7;
2005-11-30;3;null;null;null;6,7;null;
2005-12-31;11;259,2;973,1;25,7;7,7;1,7;
2006-01-31;15;208,2;974,3;27,1;7,1;1,6;
2006-02-28;16;null;973,4;26,2;5,6;1,5;
2006-03-31;14;155;974,1;26,9;3,7;1,5;
2006-04-30;8;null;975,6;25,2;4,3;1,2;
2006-05-31;1;null;null;20,5;3,9;null;
2006-06-30;2;12;980,5;21,4;4,6;1,2;
2006-07-31;5;13,8;980,2;21,8;5,3;1,2;
2006-08-31;5;31,2;978,3;23,6;5,4;1,6;
2006-09-30;9;54;977,8;23,3;7,8;1,8;
2006-10-31;9;171,8;974,5;26,4;5,6;1,6;
2006-11-30;11;82,4;973,6;26,8;5,4;1,7;
2006-12-31;19;283,6;973,9;26,9;5,4;1,8;
2007-01-31;30;480,2;973,3;25,8;5,1;1,5;
2007-02-28;12;100,6;974;26,8;6,5;1,4;
2007-03-31;8;68,8;975,7;27,6;6,5;1,3;
2007-04-30;6;18,8;976,6;26,6;4,6;1,3;
2007-05-31;6;100,6;978,6;22;5,8;1,3;
2007-06-30;1;,2;979,8;21,6;3,7;1,1;
2007-07-31;12;49,6;979,6;19,9;5,9;1,4;
2007-08-31;2;,8;979,5;22,4;5,3;1,6;
2007-09-30;2;6,4;977,6;27,3;5,6;1,8;
2007-10-31;12;21,2;974,5;27,9;6,3;1,6;
2007-11-30;22;54,6;973,3;26,1;7,3;1,8;
2007-12-31;12;70,6;973;27,1;5,8;1,6;
2008-01-31;24;162,4;973,1;25,8;5,5;1,6;
2008-02-29;29;30,8;974,4;25,9;6,2;1,5;
2008-03-31;8;95,4;974,8;25,4;4,5;1,3;
2008-04-30;14;157,6;974,7;24,5;6,9;1,2;
2008-05-31;14;50,8;979;20,5;4,4;1;
2008-06-30;5;11;980;20,8;4,9;1,2;
2008-07-31;null;null;980,9;21,7;4,9;1;
2008-08-31;null;null;null;null;null;null;
2008-09-30;1;null;null;null;null;null;
2008-10-31;12;78,2;975,9;26,6;7,3;1,7;
2008-11-30;12;103;973,6;26,5;7,1;1,6;
2008-12-31;12;53,2;972,4;27,2;6,5;1,7;
2009-01-31;19;365;974,2;25,7;5,3;1,6;
2009-02-28;13;118,4;974,1;26,7;5,4;1,4;
2009-03-31;11;211;974,2;26,9;7,8;1,2;
2009-04-30;4;25,4;976,7;25,8;3,7;1,1;
2009-05-31;4;65,4;977,9;22,9;5,3;1,1;
2009-06-30;12;80,6;980,2;19,3;5,3;1;
2009-07-31;5;61,4;979,2;20,9;6,5;1,1;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;1;null;null;null;null;null;
2010-04-30;null;null;null;null;4,4;null;
2010-05-31;2;null;978,6;null;4,6;1,3;
2010-06-30;null;null;980,2;null;4,3;1,1;
2010-07-31;null;null;null;23,2;6;null;
2010-08-31;null;null;null;null;4,8;null;
2010-09-30;null;null;null;null;0;null;
2010-10-31;8;null;null;25,2;7;null;
2010-11-30;8;48,6;972,7;26;8,1;1,8;
2010-12-31;16;141,2;971,1;26,9;7,3;1,7;
2011-01-31;21;328,6;972,2;26,5;6,1;1,5;
2011-02-28;12;81,4;974;26,5;7,2;1,5;
2011-03-31;21;393,2;973,5;25,2;5,8;1,5;
2011-04-30;6;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;4;15;977,9;25,7;6,8;1,9;
2011-10-31;13;191,4;974,1;25,8;7,6;2,1;
2011-11-30;8;245,4;973,9;25,8;7,9;1,7;
2011-12-31;11;148;972,5;27,5;5,6;1,7;
