Nome: IVINHEMA
Codigo Estacao: A709
Latitude: -22.30055555
Longitude: -53.82277777
Altitude: 377.36
Situacao: Operante
Data Inicial: 2003-02-07
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;null;null;null;null;null;null;
2003-03-31;null;null;null;null;null;null;
2003-04-30;null;null;null;null;null;null;
2003-05-31;null;null;null;null;null;null;
2003-06-30;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;null;null;null;
2005-08-31;null;null;null;null;null;null;
2005-09-30;7;null;971,6;18,9;11,2;3,9;
2005-10-31;14;null;968,1;23,7;13,1;2,7;
2005-11-30;2;null;null;null;8,8;null;
2005-12-31;6;null;966,4;25,9;8,5;2,9;
2006-01-31;15;null;967;26,2;14;2,6;
2006-02-28;11;null;966,2;26,1;9,6;2,4;
2006-03-31;13;153;966,9;26;8,3;2,5;
2006-04-30;7;null;968,8;24;9,5;2,5;
2006-05-31;null;null;null;19,9;7,4;null;
2006-06-30;7;31;973,2;20,6;7,4;2,8;
2006-07-31;5;36,8;972,7;21,7;9,6;2,8;
2006-08-31;1;11,4;971,2;22,1;11,7;3,2;
2006-09-30;12;100,4;970,7;21,6;11,7;3,4;
2006-10-31;9;59,6;967,4;25,5;10,4;2,8;
