Nome: PARANAIBA
Codigo Estacao: A710
Latitude: -19.69555555
Longitude: -51.18166666
Altitude: 408.06
Situacao: Operante
Data Inicial: 2006-11-09
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;4;null;null;27,3;null;null;
2006-12-31;25;399,8;965;25,8;null;null;
2007-01-31;28;560,8;964,8;25,3;10,5;2,3;
2007-02-28;12;98,2;965;26;7,8;2,1;
2007-03-31;8;136,4;966,7;26,1;6,6;1,8;
2007-04-30;7;86,2;967,4;25,6;8,2;1,9;
2007-05-31;4;102,4;969,2;21,7;7,6;2,1;
2007-06-30;2;4,4;970,6;20,8;5,4;1,5;
2007-07-31;5;43,2;970,2;20,2;10,5;2,2;
2007-08-31;0;0;970,1;22,5;8,7;2,3;
2007-09-30;2;23,2;968,3;26,8;9,6;2,7;
2007-10-31;5;76,8;965,3;27,6;8,6;2,4;
2007-11-30;14;79,6;964,2;25,8;8,6;2,6;
2007-12-31;12;null;null;null;8,6;null;
2008-01-31;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;
2008-03-31;10;null;null;null;5,1;null;
2008-04-30;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;null;null;970,3;21,1;7,6;1,7;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;13;87;966,6;26,4;null;null;
2008-11-30;15;142,4;964,3;25,9;null;null;
2008-12-31;16;182;963,3;26,3;null;null;
2009-01-31;21;308,6;965,2;25;null;null;
2009-02-28;14;180;965,1;25,8;null;null;
2009-03-31;18;166,6;965;25,6;null;null;
2009-04-30;3;13,2;967,3;24,2;null;null;
2009-05-31;6;35,4;968,5;22,3;null;null;
2009-06-30;11;37;970,7;19,4;null;null;
2009-07-31;5;11,8;969,8;21,4;null;null;
2009-08-31;6;12,2;969,2;22,7;null;null;
2009-09-30;12;24,4;967,7;24,6;null;null;
2009-10-31;15;34,4;965;25,1;null;null;
2009-11-30;17;117,8;963,8;26,7;null;null;
2009-12-31;23;315,6;964,3;25,2;null;null;
2010-01-31;26;344,2;965,4;25,3;null;null;
2010-02-28;11;null;null;26,4;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;21,9;null;null;
2010-07-31;1;,4;969,6;22,3;null;null;
2010-08-31;null;null;null;21;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;4;null;null;25,2;9,4;null;
2010-11-30;10;62;963,4;25,4;8,2;2,4;
2010-12-31;3;null;null;null;11,4;null;
2011-01-31;null;null;null;null;6;null;
2011-02-28;null;null;null;null;8;null;
2011-03-31;null;null;null;null;7,9;null;
2011-04-30;5;null;null;null;8,6;null;
2011-05-31;null;null;969,2;20,8;5,5;1,8;
2011-06-30;3;null;969,6;19,3;11;1,8;
2011-07-31;1;null;969,3;22,1;7,3;2;
2011-08-31;3;16;null;23,4;9;2,4;
2011-09-30;1;null;null;25,3;11,3;2,7;
2011-10-31;4;null;null;null;10,3;null;
2011-11-30;1;null;null;null;10,1;null;
2011-12-31;null;null;null;null;7;null;
2012-01-31;null;null;null;null;9,2;null;
2012-02-29;null;null;null;null;5,8;null;
2012-03-31;1;null;null;null;10,1;null;
2012-04-30;null;null;null;null;8,8;null;
2012-05-31;2;null;null;null;7,3;null;
2012-06-30;2;null;null;null;8;null;
2012-07-31;null;null;null;null;8,5;null;
2012-08-31;null;null;null;null;8,1;null;
2012-09-30;4;null;967,6;27,3;12,6;2,2;
2012-10-31;1;null;null;null;8,6;null;
2012-11-30;4;null;null;null;9,3;null;
2012-12-31;10;235,8;964,1;27,4;9,8;2,3;
2013-01-31;19;190;964,5;26;9;2,3;
2013-02-28;15;252,8;965,6;25,7;9,9;2;
2013-03-31;19;218,8;965,8;25,7;6,7;2;
2013-04-30;8;94,2;967,8;23,4;6,9;1,8;
2013-05-31;7;20,6;968,4;22,5;7,7;1,7;
2013-06-30;8;79,2;969,3;22,5;9,2;1,7;
2013-07-31;3;24,4;971,4;19,8;9,3;2;
2013-08-31;0;0;969,9;21,4;8,3;2,3;
2013-09-30;6;15,4;967,9;24,8;9,1;2,6;
2013-10-31;13;122,8;966,3;25,8;8,2;2,4;
2013-11-30;14;52,4;964,2;26,5;8,5;2,3;
2013-12-31;17;114,4;962,8;27,2;10,5;2,2;
2014-01-31;17;101;966,5;26,5;9;1,9;
2014-02-28;13;171,8;965,3;26,8;7,4;2,1;
2014-03-31;15;181,8;966,2;25,6;9,4;2;
2014-04-30;6;87,2;967,2;25,5;8,3;2;
2014-05-31;9;16,6;968,8;21,6;7,1;1,3;
2014-06-30;3;8;969,9;21,8;6;1,4;
2014-07-31;8;102,4;972,1;21,2;8,1;1,6;
2014-08-31;0;0;970;23,4;7,8;1,6;
2014-09-30;3;null;967,2;25,9;8,1;2,1;
2014-10-31;4;null;null;null;10,3;null;
2014-11-30;16;176,8;964,8;25,3;7,4;1,9;
2014-12-31;17;185;965;26;9,5;2,2;
2015-01-31;8;96;966,5;27,8;6,9;1,9;
2015-02-28;15;193,2;965,7;26,3;8,6;2;
2015-03-31;11;153,2;966,1;25,1;9,8;1,7;
2015-04-30;7;53,8;967;25,3;9,7;1,6;
2015-05-31;10;124,6;969,3;22,3;9,6;1,6;
2015-06-30;4;34,4;971,5;21,3;8;1,6;
2015-07-31;6;37,8;970,4;21,8;5,7;1,7;
2015-08-31;2;12,6;969,5;23,2;7,8;1,8;
2015-09-30;7;57,4;966,3;25,8;10,7;2,1;
2015-10-31;11;83,8;965,9;27,4;9,2;2,2;
2015-11-30;19;215;964,4;26,5;10,9;1,9;
2015-12-31;10;null;966,1;26,4;9,2;2;
2016-01-31;6;null;null;null;6,4;null;
2016-02-29;10;null;966,5;27,3;11,6;1,8;
2016-03-31;5;null;null;null;8,8;null;
2016-04-30;4;57;967,2;25,9;6,7;1,6;
2016-05-31;14;155,8;970,2;21,5;8;1,5;
2016-06-30;4;null;null;19,3;5,1;null;
2016-07-31;2;2,2;970,6;21;8,6;1,5;
2016-08-31;6;41,2;969,2;22,5;9,4;1,8;
2016-09-30;7;51,2;968,8;23,3;9,4;2,1;
2016-10-31;8;42,8;965,8;25,7;9,3;2,3;
2016-11-30;11;118,2;964,8;25,8;9,8;2,3;
2016-12-31;13;130,4;964,8;26,3;9,3;2,1;
2017-01-31;9;null;null;null;7,8;null;
2017-02-28;2;null;null;null;7,6;null;
2017-03-31;2;null;null;26;5,6;null;
2017-04-30;7;32,4;967,4;24,5;8;1,9;
