Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Operante
Data Inicial: 2006-08-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;3;null;null;24,3;8,8;null;
2006-09-30;4;29,6;1001,2;24,7;12,5;2,7;
2006-10-31;10;111,4;997,8;27;9,5;2,2;
2006-11-30;12;174;997,2;26,7;7,2;2,3;
2006-12-31;20;209,2;997,7;27,1;7,8;2,2;
2007-01-31;23;282,2;997,1;27,4;9;2,4;
2007-02-28;20;208;997,7;27;6,6;1,9;
2007-03-31;6;null;null;27,1;7,6;null;
2007-04-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;1;null;1003,4;19,3;8,3;2,5;
2007-08-31;0;0;1003,3;20,6;8,5;3;
2007-09-30;0;0;1000,3;26,7;8,7;2,4;
2007-10-31;7;75,8;997,8;27,5;9;2,2;
2007-11-30;8;174,2;996,7;26,9;9,3;2,4;
2007-12-31;11;105,8;996,8;27;7,6;2,1;
2008-01-31;24;391,6;996,7;26,5;9,3;2,1;
2008-02-29;14;161,8;998,3;27;7,5;2;
2008-03-31;16;118,6;998,5;26,7;6,7;1,5;
2008-04-30;10;28;998,9;25,1;7,5;1,8;
2008-05-31;9;94,2;1003,1;21,7;7,7;1,8;
2008-06-30;9;24,2;1004,3;20,2;7,3;1,8;
2008-07-31;3;,6;1002,9;22;7,2;1,7;
2008-08-31;3;4,6;1000,1;24,4;8;2,1;
2008-09-30;3;40,8;1001,5;23,6;11,4;1,3;
2008-10-31;10;87,6;999,2;26,9;9,6;1,4;
2008-11-30;11;110,6;996,9;27,5;13,6;1,6;
2008-12-31;13;121;996,2;27,3;11,9;1,7;
2009-01-31;17;85,8;998,1;26,7;7,2;1,8;
2009-02-28;15;145,2;997,7;27,1;7,2;1,8;
2009-03-31;16;204,4;998,1;27;9,9;1,2;
2009-04-30;3;26,4;1000,2;25,6;4,5;1;
2009-05-31;2;52,4;1001,4;23,5;7,9;1,9;
2009-06-30;9;13,4;1004,1;20,4;6,6;1,7;
2009-07-31;8;28;1002,9;21,7;9,2;1,9;
2009-08-31;8;59,2;1001,6;23;8,7;2,2;
2009-09-30;6;2,4;1000,9;25,1;8,9;3,1;
2009-10-31;4;55,2;997,1;27,9;9,4;2,5;
2009-11-30;8;84;995,5;28,7;7,6;2,9;
2009-12-31;17;211;996,8;27,7;11,6;2,4;
2010-01-31;17;182,2;997,4;26,9;7,3;2,2;
2010-02-28;12;64;997,6;27,9;7,1;2,2;
2010-03-31;10;65,6;998;27,7;6,9;1,7;
2010-04-30;5;10,4;1000,9;25,1;6,4;2;
2010-05-31;7;71,2;1003;20,8;7;1,9;
2010-06-30;3;7,8;1003,8;22;7,6;1,9;
2010-07-31;2;2;1003,7;20,4;8,2;2,5;
2010-08-31;null;0;1002,9;22,2;8,4;2,3;
2010-09-30;6;27,8;998,8;26,4;9,4;2,7;
2010-10-31;7;99;998,7;26;9;2,3;
2010-11-30;9;118,8;996,9;25,7;8,9;2,2;
2010-12-31;2;null;null;null;9,2;null;
2011-01-31;null;null;null;null;7;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;5;null;null;null;null;null;
2011-11-30;4;44,8;996,9;27,5;10;2,1;
2011-12-31;10;64,2;996,8;27,6;13,2;1,9;
2012-01-31;19;211,6;997;26,9;8,7;1,8;
2012-02-29;16;115,8;998,3;26,8;8,5;1,4;
2012-03-31;11;101,4;999,8;26,3;7;1,4;
2012-04-30;12;87;999,7;25,8;7,5;1,4;
2012-05-31;11;59,2;1002,3;22,6;6,2;1,2;
2012-06-30;11;48,2;1003,2;21,3;8,5;1,6;
2012-07-31;2;3,2;1004,1;19,9;7,2;,9;
2012-08-31;1;,2;1003,4;24;9,4;1,9;
2012-09-30;5;82,6;1000,5;26,8;9,3;2;
2012-10-31;6;67;997,5;28,1;9,8;1,9;
2012-11-30;11;147;996,5;27,6;9,1;1,3;
2012-12-31;12;83,2;996,7;28,3;7,4;1,6;
2013-01-31;8;138,6;997,4;27,9;8,3;,7;
2013-02-28;13;54,6;998,1;27;8;1;
2013-03-31;13;134,2;998,9;27,1;9,2;,7;
2013-04-30;11;73,2;1000,9;24,5;6,2;,4;
2013-05-31;7;29,6;1002;22,9;7,8;,7;
2013-06-30;8;null;null;22,9;5,8;null;
2013-07-31;null;null;null;18,5;7,4;null;
2013-08-31;null;0;1003,8;20,6;8,3;1,6;
2013-09-30;7;35;1000,9;25,3;9;1,1;
2013-10-31;8;19;999,3;27,2;9,1;,8;
2013-11-30;6;null;997,2;27,7;9,5;1;
2013-12-31;16;132,2;996;27,8;7,8;2,3;
2014-01-31;17;99;999,4;26,8;10,1;2,3;
2014-02-28;16;72,6;998,2;26,3;9;2,1;
2014-03-31;15;136,6;999;26,6;8,2;1,8;
2014-04-30;null;null;null;null;null;null;
2014-05-31;1;null;null;null;null;null;
2014-06-30;3;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;11;null;null;25,9;12,3;null;
2014-12-31;10;87,6;997,6;27,3;8,2;2,4;
2015-01-31;13;67,4;999,8;27,8;11;1,9;
2015-02-28;16;224,8;998,5;27;9,2;2,1;
2015-03-31;13;127,2;999,2;26,4;9,3;1,5;
2015-04-30;11;68;1000,4;26,2;5,9;1,3;
2015-05-31;9;43,8;1002,3;23,9;7,5;1,8;
2015-06-30;1;,2;1004;22,6;8,2;1,9;
2015-07-31;null;null;1003,5;21,9;8,4;2,1;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;null;999,1;27,6;8,2;2,7;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;18;null;999;27,8;9,6;2,1;
