Nome: DOURADOS
Codigo Estacao: A721
Latitude: -22.19388888
Longitude: -54.91138888
Altitude: 463.3
Situacao: Pane
Data Inicial: 2006-10-17
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;1;null;null;null;null;null;
2006-11-30;12;71,6;957,7;25;7,5;2,8;
2006-12-31;17;283,2;957,6;25,8;6,8;2,4;
2007-01-31;24;262,8;956,8;24,9;9,3;2,1;
2007-02-28;14;279,6;957,9;25,1;7,2;2,2;
2007-03-31;10;179,6;959,6;25,7;9,2;2;
2007-04-30;9;46,8;960,9;24,1;7,2;2,5;
2007-05-31;6;82,6;962,8;19;8;2,6;
2007-06-30;2;6,4;963,1;19,7;7,1;2,2;
2007-07-31;6;121,2;963,1;17,4;8,5;2,7;
2007-08-31;3;37,2;963,3;19,3;7,3;3,2;
2007-09-30;1;6,6;961,5;25,3;8,9;3,2;
2007-10-31;12;118,8;958,6;25;9,3;2,8;
2007-11-30;14;201,8;957,1;24,2;9,6;2,9;
2007-12-31;11;149,2;957,1;25,2;7,4;2,1;
2008-01-31;18;175,4;956,9;24,5;7,1;2,4;
2008-02-29;15;229,4;958,2;24,3;9;2,1;
2008-03-31;12;50,8;958,9;24,4;7;2,2;
2008-04-30;8;140,6;959;22,7;6,9;2,2;
2008-05-31;5;27,8;962,7;19,8;7;2,2;
2008-06-30;9;18,4;963,7;17,7;8,3;2,2;
2008-07-31;3;21,4;963,7;21,6;6,7;2,6;
2008-08-31;7;32;960,9;22,1;9,1;3;
2008-09-30;6;38,6;962,1;20,6;7,4;3,2;
2008-10-31;6;74,8;959,8;24,6;11,3;2,8;
2008-11-30;2;6;957,8;25,1;6,9;2,3;
2008-12-31;7;17,6;956,7;25,9;7,3;2,2;
2009-01-31;14;71;958,2;24,3;7;2,3;
2009-02-28;14;157,8;958;25,1;9,8;2;
2009-03-31;12;66,6;958,5;25,7;6,2;1,8;
2009-04-30;1;,2;961;24,8;5,5;1,8;
2009-05-31;7;96,8;961,5;21,8;7,5;2,2;
2009-06-30;8;null;963,7;17,5;5,7;2,3;
2009-07-31;7;null;962,7;19,2;8,9;2,5;
2009-08-31;6;102,2;961,9;20,9;6,9;2,5;
2009-09-30;9;38;960,9;21;7,6;2,9;
2009-10-31;11;184;958,1;23,9;10,1;2,6;
2009-11-30;15;120,4;955,8;26,5;8,3;2,7;
2009-12-31;16;331,8;957;25;6,6;2,3;
2010-01-31;15;null;957,7;25;7,3;2,1;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;2;null;null;null;null;null;
2010-08-31;null;null;962,9;22,8;8,7;2,9;
2010-09-30;null;null;null;23,9;8,3;null;
2010-10-31;1;null;null;23,6;9,2;null;
