Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2006-12-17
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;4;null;null;null;null;null;
2007-01-31;26;265,8;937,6;23,6;9,4;2,6;
2007-02-28;23;248,6;938;23,6;9,9;2,4;
2007-03-31;11;102,4;939,5;24,4;8,6;2,5;
2007-04-30;11;112;940,2;23,9;8,7;2,5;
2007-05-31;3;45,8;941,9;20;8,4;2,5;
2007-06-30;3;3;942,8;20,1;8,3;2,1;
2007-07-31;1;45,8;942,3;19,5;13;3;
2007-08-31;null;0;942,2;21,9;7,7;2,9;
2007-09-30;3;44;940,9;25,4;10,3;3,1;
2007-10-31;null;null;938,4;null;11,5;2,9;
2007-11-30;null;null;936,9;null;12;3,5;
2007-12-31;null;null;937,2;null;10,5;2,4;
2008-01-31;6;null;937;null;8,5;2,5;
2008-02-29;2;null;938,4;null;9,1;2,6;
2008-03-31;null;null;938,6;null;7,6;2,6;
2008-04-30;null;null;938,5;null;12,4;2,5;
2008-05-31;null;null;941,5;null;9;2,2;
2008-06-30;1;null;942,8;20,2;6,7;2,3;
2008-07-31;null;null;943,1;20,7;8,8;2,6;
2008-08-31;null;null;940,4;null;10,8;3,1;
2008-09-30;1;null;940,5;23,8;10,7;3,4;
2008-10-31;3;null;939,1;null;13,4;3,1;
2008-11-30;8;null;937,4;25;10,1;2,2;
2008-12-31;3;null;936,6;24,6;8,4;1,5;
2009-01-31;7;null;938,2;23,4;9,4;2,1;
2009-02-28;7;null;938,1;23,9;8,5;1,8;
2009-03-31;13;null;938,3;24,2;10;2;
2009-04-30;9;null;940,4;24;6,7;1,9;
2009-05-31;null;null;941,1;null;9,5;1,8;
2009-06-30;1;null;942,6;19,2;8,2;2,1;
2009-07-31;null;null;942;21,9;11,5;2,2;
2009-08-31;1;null;941,4;null;11,9;2,9;
2009-09-30;1;null;940,5;null;11,3;2,9;
2009-10-31;2;null;937,8;24,4;9,3;2,8;
2009-11-30;null;null;936,6;25,5;12,3;2,3;
