Nome: AMAMBAI
Codigo Estacao: A750
Latitude: -23.0025
Longitude: -55.32944443
Altitude: 433.59
Situacao: Operante
Data Inicial: 2008-06-10
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;6;null;null;15,4;9,5;null;
2008-07-31;5;11,2;966,7;19,4;6,6;2,1;
2008-08-31;14;201,6;964;19,9;9,1;2,6;
2008-09-30;7;58,6;965,4;18,8;9,3;2,8;
2008-10-31;13;113,4;962,8;23,6;12,4;2,7;
2008-11-30;14;340,4;960,8;24;12,2;2,4;
2008-12-31;6;47,4;959,8;25,5;8,2;2,2;
2009-01-31;12;131,4;961,2;24;9,3;2,2;
2009-02-28;18;257,4;960,9;24,6;11,3;1,7;
2009-03-31;13;93,2;961,5;25;12,6;1,6;
2009-04-30;1;null;964,2;23,2;7,4;1,9;
2009-05-31;12;151,4;964,5;20;8,7;2;
2009-06-30;3;null;null;null;null;null;
2009-07-31;11;80,8;966,3;16,5;8,4;2,2;
2009-08-31;11;74;965,2;18,7;7,5;2,5;
2009-09-30;9;74,4;964;19,9;10,2;2,9;
2009-10-31;12;196,2;961;23;14,1;2,8;
2009-11-30;13;122,2;958,4;26,4;11;2,6;
2009-12-31;15;185,2;959,8;24,9;11,5;2,3;
2010-01-31;24;293;960,4;24,8;7,5;2;
2010-02-28;17;212,4;960,9;25,6;10,6;2,2;
2010-03-31;10;128,2;961,3;24,9;8,8;2,2;
2010-04-30;7;63,4;964,7;22;9,3;2,1;
2010-05-31;19;223,2;965,7;17,1;7,3;2,1;
2010-06-30;9;17,4;967;18,5;8,4;2,1;
2010-07-31;6;null;966,8;17,4;8,1;2,3;
2010-08-31;null;null;966,1;19,2;9,2;2,2;
2010-09-30;null;null;null;null;9,6;null;
2010-10-31;1;null;null;null;9,9;null;
2010-11-30;1;null;null;null;10,5;null;
2010-12-31;null;null;null;null;11,4;null;
2011-01-31;null;null;null;null;7,8;null;
2011-02-28;null;null;null;null;9,7;null;
2011-03-31;null;null;null;null;8,1;null;
2011-04-30;1;null;null;null;12,4;null;
2011-05-31;2;3,6;966,4;18;5,6;1,4;
2011-06-30;9;46,2;965,8;16,2;5,8;1,8;
2011-07-31;10;99,2;965,3;18,1;10,3;1,9;
2011-08-31;9;78,8;965,1;19;9;2,6;
2011-09-30;9;37,8;965,5;20,7;10,9;2,2;
2011-10-31;12;209,6;961;23,2;11,2;2,6;
2011-11-30;7;143;961,1;23,2;9,1;2,4;
2011-12-31;7;92,6;960,1;24,8;8,8;1,6;
2012-01-31;9;173,2;960,1;24,8;5,7;1,6;
2012-02-29;14;102,2;961,3;25,1;7,3;1,4;
2012-03-31;14;189,2;963,2;23,5;9,6;1,6;
2012-04-30;15;142,4;963,2;21,9;10,4;1,5;
2012-05-31;13;42,6;965,9;18,9;8,9;1,5;
2012-06-30;22;255;966;17,4;7,6;1,5;
2012-07-31;7;32;966,7;16,7;8,5;1,6;
2012-08-31;5;21,8;967,4;20,3;7,6;2,3;
2012-09-30;8;61,4;964,7;22,2;9;2,6;
2012-10-31;14;219;961,2;24,2;10,7;2,5;
2012-11-30;13;174,8;960,1;24,7;7,8;1,8;
2012-12-31;11;111,8;959,5;25,9;14,1;1,7;
2013-01-31;9;188,6;961,2;25;9,1;1,9;
2013-02-28;17;121,2;961,1;24,9;6,5;1,8;
2013-03-31;18;278,6;962,2;24,2;9,2;1,9;
2013-04-30;11;172,6;964,5;20,6;11,3;1,5;
2013-05-31;13;130,8;965;19,4;7,4;1,6;
2013-06-30;20;null;965,6;18,2;7,5;1,3;
2013-07-31;9;32,2;967,8;17,1;6,5;1,9;
2013-08-31;3;2;966,7;16,9;8,5;2,3;
2013-09-30;8;21;964,5;21,1;10,8;2,6;
2013-10-31;10;null;962,9;23,2;11,8;2,4;
2013-11-30;10;93,8;960,7;24,8;8,8;2,6;
2013-12-31;12;82,4;959,1;25,8;9,1;1,7;
2014-01-31;19;254;962,3;24,9;8;1,5;
2014-02-28;16;91,6;961,4;25,5;9,6;2,1;
2014-03-31;18;210,6;962,4;23,4;6,2;1,5;
2014-04-30;9;null;null;23,2;6,7;null;
2014-05-31;6;null;null;null;null;null;
2014-06-30;11;73,4;965,8;18,6;7,2;1,9;
2014-07-31;16;192,8;968,3;16,9;7,7;2;
2014-08-31;4;14;966,6;20;8,7;2;
2014-09-30;9;119,2;962,8;23;8,2;2,9;
2014-10-31;7;62,8;962,8;25,5;10,1;2,4;
2014-11-30;14;194,8;961,1;23,9;8;1,7;
2014-12-31;17;289;960,7;24,6;6,8;1,9;
2015-01-31;16;101,2;962,9;25,3;6,8;1,4;
2015-02-28;19;210,4;961,5;24,8;7;1,3;
2015-03-31;21;90,4;962,6;24,2;6,1;1,3;
2015-04-30;23;113,2;964,1;22,3;5,7;1,3;
2015-05-31;27;160;965,9;18,9;6;1,6;
2015-06-30;20;43,8;967,6;18,7;6,2;1,9;
2015-07-31;18;88,6;966,1;17,7;8,7;1,9;
2015-08-31;5;3,8;964,9;21,3;7,1;2;
2015-09-30;null;null;962,2;23,3;7,8;2;
2015-10-31;14;254;962,3;24,6;8,4;2,3;
2015-11-30;17;405,2;960,3;23,9;7,1;1,7;
2015-12-31;2;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;19;null;961,9;25,6;8,4;1,5;
2016-03-31;10;74;964,3;23,7;6,9;1,5;
2016-04-30;7;68,8;963,7;23,9;6,6;1,4;
2016-05-31;6;null;null;null;5,7;null;
2016-06-30;3;null;null;15;5,3;null;
2016-07-31;5;31,8;966,8;17,6;7,8;1,7;
2016-08-31;9;105;null;19;6,5;1,9;
2016-09-30;9;59;965,3;19,3;7,2;1,7;
2016-10-31;12;233,6;962,4;23;7;2,3;
2016-11-30;8;54,6;961,8;23,7;9;1,9;
2016-12-31;14;208,8;961,1;24;7,5;1,9;
2017-01-31;15;98,2;961,6;25,2;6,2;1,4;
2017-02-28;17;241,4;961,5;25,4;6,4;1,3;
2017-03-31;13;117,4;962,8;24,5;6,5;1,5;
2017-04-30;17;192,4;964,4;20,6;6,3;1,1;
2017-05-31;20;55,6;964,5;20,9;6,6;1,2;
2017-06-30;10;60,8;967;17,6;6,8;1,5;
2017-07-31;3;5;970,4;16,8;7,3;1,8;
2017-08-31;6;47,6;965,1;20,4;7,9;2,1;
2017-09-30;3;14,6;964,9;23,7;7,4;2;
2017-10-31;15;209,8;961,6;23;10,3;2,5;
2017-11-30;14;192;960,5;22,7;8,4;1,8;
2017-12-31;18;196,6;960;24,6;5,2;1,4;
2018-01-31;20;240,2;961,1;24,1;5,8;1,5;
2018-02-28;13;142,6;961,5;23,7;6,1;1,2;
2018-03-31;24;236,6;961,6;24,7;6,3;1;
2018-04-30;4;57,6;965,3;23,4;5,9;1,2;
2018-05-31;null;null;966,5;19,6;6,4;1,1;
2018-06-30;2;null;null;18,9;5,8;null;
2018-07-31;2;1;967,3;17,8;5,7;1;
2018-08-31;null;null;967,8;16,8;7,9;1,5;
2018-09-30;null;null;963,2;20,8;9,2;1,4;
2018-10-31;null;null;961,6;23,4;7,6;1,5;
2018-11-30;13;25;961,1;24;8,1;2,1;
2018-12-31;11;10,6;962;25;6,6;1,3;
2019-01-31;null;null;962,8;26,4;8,7;1,5;
2019-02-28;null;null;961,5;24,8;6;1,3;
2019-03-31;null;null;963,8;24,5;6,8;1,3;
2019-04-30;null;null;963,5;22,7;5,5;1;
2019-05-31;null;null;964,5;21,2;6;1,3;
2019-06-30;5;32;967,1;19;6,9;1,5;
2019-07-31;6;10,2;967,7;16,3;7;1,5;
2019-08-31;5;1,8;968,1;19,5;7,1;2;
2019-09-30;7;27,4;963,7;23,2;7,7;1,9;
2019-10-31;10;41,2;962,1;25,4;7,1;1,6;
2019-11-30;9;123,8;960,2;26;6,5;1,8;
2019-12-31;20;480,2;961,2;24,1;6,4;1,3;
2020-01-31;13;151,8;960,4;25,2;5,3;1;
2020-02-29;15;124,8;961,9;25,1;5,3;1;
2020-03-31;7;71;963,1;25;6,9;1,3;
2020-04-30;4;135,6;965,7;21;5,6;1;
2020-05-31;9;130,8;966,8;17,3;5,6;1;
2020-06-30;10;131,4;965,5;18,6;6,5;1,5;
2020-07-31;6;17;966,3;17,3;5,5;1,1;
2020-08-31;8;180,6;966;18,6;6,8;1,3;
2020-09-30;3;7,2;963,5;23,2;5,8;1,3;
2020-10-31;13;127;961,5;24,6;6,9;1,5;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

