Data,Cidade,Temperatura_C,Pressao_hPa,Umidade_Perc,Precipitacao_mm
2021-01-01,Campo Grande,25.4,1012.7,0,
2021-01-01,Dourados,26.3,1012.1,0,
2021-01-01,Três Lagoas,24.5,1013.6,0,
2021-01-01,Corumbá,27.2,1012.5,0,40.4
2021-01-01,Ponta Porã,25.8,1012.9,0,1.3
2021-01-01,Aquidauana,27.3,1012.0,0,
2021-01-02,Campo Grande,26.9,1010.1,0,0.0
2021-01-02,Dourados,27.5,1010.4,0,0.0
2021-01-02,Três Lagoas,27.8,1010.9,0,3.1
2021-01-02,Corumbá,30.7,1009.4,0,0.1
2021-01-02,Ponta Porã,26.6,1012.3,0,0.0
2021-01-02,Aquidauana,28.6,1009.3,0,0.0
2021-01-03,Campo Grande,26.6,1007.4,0,0.0
2021-01-03,Dourados,27.4,1008.0,0,0.2
2021-01-03,Três Lagoas,28.0,1008.7,0,0.9
2021-01-03,Corumbá,30.5,1006.7,0,2.3
2021-01-03,Ponta Porã,26.4,1009.4,0,0.2
2021-01-03,Aquidauana,27.4,1006.6,0,0.2
2021-01-04,Campo Grande,24.1,1009.2,0,6.0
2021-01-04,Dourados,25.0,1008.6,0,10.4
2021-01-04,Três Lagoas,25.0,1010.7,0,5.8
2021-01-04,Corumbá,26.1,1007.5,0,20.0
2021-01-04,Ponta Porã,22.4,1010.2,0,16.0
2021-01-04,Aquidauana,24.9,1008.6,0,14.4
2021-01-05,Campo Grande,23.1,1010.5,0,4.5
2021-01-05,Dourados,23.6,1009.5,0,9.0
2021-01-05,Três Lagoas,26.3,1011.6,0,1.2
2021-01-05,Corumbá,25.8,1008.5,0,8.9
2021-01-05,Ponta Porã,23.0,1010.2,0,4.4
2021-01-05,Aquidauana,25.2,1009.3,0,15.3
2021-01-06,Campo Grande,24.3,1012.1,0,13.4
2021-01-06,Dourados,24.0,1011.1,0,11.8
2021-01-06,Três Lagoas,26.9,1012.3,0,1.8
2021-01-06,Corumbá,25.9,1010.8,0,4.7
2021-01-06,Ponta Porã,23.3,1013.2,0,6.0
2021-01-06,Aquidauana,25.8,1011.3,0,17.6
2021-01-07,Campo Grande,23.1,1013.1,0,3.8
2021-01-07,Dourados,24.2,1012.1,0,6.4
2021-01-07,Três Lagoas,26.4,1012.8,0,2.8
2021-01-07,Corumbá,25.8,1011.1,0,0.1
2021-01-07,Ponta Porã,23.1,1013.8,0,4.9
2021-01-07,Aquidauana,26.8,1011.7,0,0.1
2021-01-08,Campo Grande,25.2,1012.3,0,0.4
2021-01-08,Dourados,24.6,1011.6,0,0.4
2021-01-08,Três Lagoas,27.0,1011.7,0,1.0
2021-01-08,Corumbá,28.3,1010.0,0,0.5
2021-01-08,Ponta Porã,22.7,1013.3,0,18.6
2021-01-08,Aquidauana,27.5,1010.6,0,0.3
2021-01-09,Campo Grande,27.0,1009.7,0,0.0
2021-01-09,Dourados,26.4,1009.8,0,0.0
2021-01-09,Três Lagoas,28.8,1010.3,0,0.0
2021-01-09,Corumbá,28.4,1007.7,0,0.2
2021-01-09,Ponta Porã,26.1,1011.8,0,0.0
2021-01-09,Aquidauana,29.2,1008.9,0,0.0
2021-01-10,Campo Grande,26.0,1010.6,0,2.7
2021-01-10,Dourados,28.1,1009.5,0,4.6
2021-01-10,Três Lagoas,29.2,1010.6,0,0.3
2021-01-10,Corumbá,27.7,1008.8,0,1.0
2021-01-10,Ponta Porã,26.5,1011.8,0,4.6
2021-01-10,Aquidauana,29.2,1009.2,0,0.7
2021-01-11,Campo Grande,26.5,1009.8,0,0.7
2021-01-11,Dourados,28.1,1008.9,0,0.2
2021-01-11,Três Lagoas,28.5,1010.0,0,0.3
2021-01-11,Corumbá,29.2,1007.6,0,0.1
2021-01-11,Ponta Porã,27.2,1011.2,0,0.5
2021-01-11,Aquidauana,29.4,1008.6,0,0.0
2021-01-12,Campo Grande,25.7,1010.7,0,2.1
2021-01-12,Dourados,27.2,1009.7,0,9.6
2021-01-12,Três Lagoas,27.1,1010.9,0,19.5
2021-01-12,Corumbá,30.1,1007.8,0,0.2
2021-01-12,Ponta Porã,26.7,1011.9,0,7.3
2021-01-12,Aquidauana,28.4,1009.7,0,4.2
2021-01-13,Campo Grande,23.1,1010.7,0,14.2
2021-01-13,Dourados,25.4,1010.5,0,8.7
2021-01-13,Três Lagoas,27.4,1010.8,0,4.1
2021-01-13,Corumbá,26.3,1009.3,0,13.6
2021-01-13,Ponta Porã,24.1,1012.5,0,13.7
2021-01-13,Aquidauana,27.2,1009.6,0,13.4
2021-01-14,Campo Grande,24.2,1009.2,0,15.8
2021-01-14,Dourados,25.0,1009.9,0,9.6
2021-01-14,Três Lagoas,27.7,1010.6,0,29.2
2021-01-14,Corumbá,27.0,1007.2,0,23.6
2021-01-14,Ponta Porã,24.0,1011.7,0,7.1
2021-01-14,Aquidauana,26.0,1008.4,0,16.4
2021-01-15,Campo Grande,23.5,1008.6,0,6.1
2021-01-15,Dourados,25.4,1008.7,0,6.0
2021-01-15,Três Lagoas,26.0,1010.3,0,9.6
